time,user,team,player,salary,years,pitch
3/16/2021 15:13,Kobe,Mexico City Aztecs,Alex Mora,3.6,1,We need a great qb like you
3/16/2021 17:07,Tucker,St. Louis Spirits,Blake Adams,0.5,1,
3/16/2021 13:27,DDsavage,Pittsburgh Yellow Jackets,Brady Petree,1.25,1,
3/17/2021 12:03,ryan,Baltimore Crabs,Davon Callahan,0.69,5,cum here
3/16/2021 15:25,Itachi Be Lit#4541,Miami Cyclones,PJ Keiaho,0.5,1,
3/16/2021 17:41,thattalldude,Seattle Symphony,PJ Keiaho,0.5,1,
,,Dallas Snipers,Tony Schroeder,0.5,1,
3/17/2021 12:03,ryan,Baltimore Crabs,Willie Ekpe,1.0,1,
